"token" "text" "value"
"1" "investasi" "investasi" 1
"2" "naro" "taruh" 0
"3" "duit" "duit" 0
"4" "duitnya" "duit" 0
"5" "bertambah" "bertambah" 1
"6" "riba" "riba" -1
"7" "pertahun" "pertahun" 0
"8" "persen" "persen" 0
"9" "investasi" "investasi" 1
"10" "uang" "uang" 0
"11" "negara" "negara" 0
"12" "dikantong" "dikantong" 0
"13" "ud" "udah" 0
"14" "gaji" "gaji" 0
"15" "belajar" "belajar" 1
"16" "publik" "publik" 0
"17" "speaking" "berbicara" 0
"18" "tukeran" "tukar" 0
"19" "otak" "otak" -1
"20" "bentar" "sebentar" 0
"21" "yuk" "ayo" 0
"22" "wawancara" "wawancara" 0
"23" "interview" "wawancara" 0
"24" "hrd" "sdm" 0
"25" "investasi" "investasi" 1
"26" "binomo" "binomo" 0
"27" "bibir" "bibir" -1
"28" "mesti" "mesti" 0
"29" "pake" "pakai" 0
"30" "tabungan" "tabungan" 0
"31" "bca" "bca" 0
"32" "halah" "halah" -1
"33" "pendapatmu" "pendapat" 0
"34" "kayak" "kayak" 0
"35" "tergantung" "tergantung" 0
"36" "kebutuhan" "kebutuhan" 0
"37" "kaa" "kaa" 0
"38" "tlg" "tolong" 0
"39" "buatin" "buatkan" 0
"40" "pas" "pas" 1
"41" "deskripsi" "deskripsi" 0
"42" "pengalaman" "pengalaman" 0
"43" "kerja" "kerja" 0
"44" "input" "input" 0
"45" "output" "output" 0
"46" "data" "data" 0
"47" "barang" "barang" 0
"48" "gudang" "gudang" 0
"49" "mengatur" "mengatur" 1
"50" "jatuh" "jatuh" -1
"51" "tempo" "tempo" -1
"52" "utang" "utang" 0
"53" "piutang" "piutang" 0
"54" "mengatur" "mengatur" 1
"55" "kebutuhan" "kebutuhan" 0
"56" "sparepart" "komponen" 0
"57" "barang" "barang" 0
"58" "gudang" "gudang" 0
"59" "mengecek" "mengecek" 1
"60" "persediaan" "persediaan" 0
"61" "stok" "stok" 0
"62" "bahan" "bahan" 0
"63" "barang" "barang" 0
"64" "mengatur" "mengatur" 1
"65" "proses" "proses" 0
"66" "pengerjaan" "pengerjaan" 1
"67" "bahan" "bahan" 0
"68" "mentah" "mentah" 0
"69" "barang" "barang" 0
"70" "negara" "negara" 0
"71" "pinjem" "pinjam" 0
"72" "abis" "habis" -1
"73" "jabatan" "jabatan" 0
"74" "presiden" "presiden" 0
"75" "gantiin" "ganti" -1
"76" "liaaat" "lihat" 0
"77" "gimana" "gimana" 0
"78" "ngelamar" "melamar" 1
"79" "linkedin" "linkedin" 0
"80" "mba" "mbak" 0
"81" "lipstick" "gincu" 0
"82" "ujung" "ujung" 0
"83" "ga" "ga" 0
"84" "batasan" "batasan" 0
"85" "bilangin" "memberitahu" 1
"86" "bank" "bank" 0
"87" "apknya" "apk" 0
"88" "lemot" "lambat" -1
"89" "masya" "masya" 0
"90" "allah" "allah" 1
"91" "bumil" "bumil" 0
"92" "nyidam" "mengidam" 1
"93" "ketemu" "ketemu" 0
"94" "cakep" "cakep" 1
"95" "banget" "banget" 0
"96" "semangat" "semangat" 1
"97" "bgt" "banget" 0
"98" "persyaratannya" "persyaratan" 0
"99" "konten" "konten" 0
"100" "ok" "ok" 0
"101" "banget" "banget" 0
"102" "terima" "terima" 0
"103" "kasih" "kasih" 1
"104" "mengedukasi" "mengedukasi" 1
"105" "publik" "publik" 0
"106" "sbn" "sbn" 0
"107" "ritel" "ritel" 0
"108" "sbr" "sbr" 0
"109" "pilihanberharga" "pilihan" 0
"110" "pilihanberharga" "berharga" 1
"111" "hidup" "hidup" 1
"112" "bermakna" "bermakna" 1
"113" "cantiik" "cantik" 1
"114" "banget" "banget" 0
"115" "orang" "orang" 0
"116" "kesaksian" "kesaksian" 0
"117" "membantu" "membantu" 1
"118" "uang" "uang" 0
"119" "perdagangan" "perdagangan" 0
"120" "kali" "kali" 0
"121" "memutuskan" "memutuskan" 0
"122" "mencobanya" "mencobanya" 1
"123" "mengejutkan" "mengejutkan" 1
"124" "menghasilkan" "menghasilkan" 1
"125" "masuk" "masuk" 1
"126" "akal" "akal" 0
"127" "dapatkan" "dapatkan" 1
"128" "pekerjaan" "pekerjaan" 0
"129" "membutuhkan" "membutuhkan" 0
"130" "bantuannya" "bantuan" 0
"131" "berhenti" "berhenti" -1
"132" "membagikan" "membagikan" 1
"133" "kabar" "kabar" 0
"134" "beli" "beli" 0
"135" "sbr" "sbr" 0
"136" "perantara" "perantara" 0
"137" "bank" "bank" 0
"138" "broker" "broker" 0
"139" "sekuritas" "sekuritas" 0
"140" "inves" "investasi" 1
"141" "jt" "juta" 0
"142" "pas" "pas" 0
"143" "uangnya" "uang" 0
"144" "total" "total" 0
"145" "inves" "investasi" 1
"146" "jt" "juta" 0
"147" "totalnya" "total" 0
"148" "lumayan" "lumayan" 1
"149" "kalah" "kalah" -1
"150" "inflasi" "inflasi" -1
"151" "tertarik" "tertarik" 1
"152" "saham" "saham" 0
"153" "menarik" "menarik" 1
